id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date
64,170569,6,1.1,2285,17847,1.0,0,0,2,7,2244,41,1906,1909,98004,47.592692,0.0,2168,15370,20230428T000000
65,471878,6,2.7,2065,0,1.5,0,0,3,8,1762,303,1982,0,98002,47.57797,0.0,1776,0,20230709T000000
66,553436,4,2.2,1969,19608,2.0,0,0,4,8,1454,515,2002,0,98004,47.42735,0.0,2345,20873,20230830T000000
67,339198,5,1.1,3910,25483,2.0,0,4,1,8,3064,846,1922,0,98006,47.669422,0.0,4042,27051,20231020T000000
68,500529,3,2.7,2947,14189,2.5,0,0,5,6,2708,239,1999,0,98001,47.455521,0.0,2584,12680,20230618T000000
69,404245,2,1.0,2578,32445,2.0,0,1,5,7,1815,763,2005,2022,98006,47.369003,0.0,2765,28903,20230818T000000
70,253232,4,3.4,2089,23598,1.5,0,1,3,8,2050,39,1931,1980,98001,47.206396,0.0,1748,25914,20230217T000000
71,404209,6,1.9,2805,20682,2.5,0,1,3,9,2338,467,1961,0,98003,47.696636,0.0,3217,17513,20230530T000000
72,580705,2,1.1,2414,25863,2.0,0,3,4,6,2067,347,1944,0,98005,47.502478,0.0,2018,30241,20231209T000000
73,344626,2,2.8,2020,18333,2.0,0,0,3,7,2012,8,1967,1976,98004,47.542174,0.0,1806,21587,20230727T000000
74,584696,2,2.2,1757,0,2.0,0,1,1,7,1495,262,1929,0,98006,47.709161,0.0,1469,0,20230302T000000
75,0,3,3.9,1935,10008,2.5,1,3,1,6,1904,31,2014,0,98005,47.404519,0.0,1628,8849,20231127T000000
76,473285,1,2.6,0,26971,2.0,0,1,1,7,0,0,2005,0,98005,47.22512,0.0,0,21758,20230427T000000
77,363057,4,1.8,2168,6924,1.5,0,2,4,5,2129,39,1938,1951,98005,47.513956,0.0,2330,8133,20230827T000000
78,305148,1,3.1,1609,12765,2.0,0,4,4,7,1518,91,1904,0,98005,47.561592,0.0,1794,11968,20231221T000000
79,363764,1,1.8,3274,4551,1.0,0,0,3,6,2582,692,1966,0,98005,47.44743,0.0,3529,4205,20230217T000000
80,51864,1,3.7,2015,32839,1.5,0,4,4,7,1619,396,1921,0,98001,47.794748,0.0,1904,29708,20230902T000000
81,317049,2,2.1,1048,31814,1.5,1,4,1,7,848,200,1927,0,98002,47.002767,0.0,1072,28563,20231020T000000
82,403566,5,2.6,1960,6161,1.0,0,2,2,7,1947,13,1921,0,98004,47.724011,0.0,2295,6739,20230105T000000
83,571684,2,1.2,1163,16472,1.0,0,2,1,9,939,224,1985,2022,98004,47.658231,0.0,1110,19159,20230410T000000
84,272259,2,2.3,2378,8195,1.0,0,2,2,7,1742,636,1997,2006,98001,47.591354,0.0,2142,9132,20230724T000000
85,228725,6,3.5,2232,21149,2.0,1,3,3,9,2083,149,1928,0,98006,46.83282,0.0,2249,22621,20230629T000000
86,274736,6,3.4,2766,20096,2.5,0,1,5,7,2239,527,1942,0,98001,47.756778,0.0,2541,18389,20230117T000000
87,487310,1,1.7,1367,23117,3.0,0,0,4,8,1211,156,1941,0,98005,47.294713,0.0,1236,23551,20230331T000000
88,399312,2,1.7,2027,18319,1.5,0,2,4,6,1981,46,1959,0,98002,47.398462,0.0,2253,16391,20230418T000000
89,270535,1,3.5,907,44354,2.0,0,0,1,6,791,116,2018,0,98004,47.465881,0.0,1048,37461,20230709T000000
90,426990,6,3.8,2561,4720,2.5,0,0,1,7,2282,279,1976,2022,98006,47.581484,0.0,2563,4003,20230629T000000
91,364561,5,1.3,2415,0,1.0,0,0,2,8,2156,259,1970,0,98003,47.627886,0.0,2685,0,20230906T000000
92,495296,4,2.4,2396,11069,2.0,0,2,4,7,2117,279,1973,0,98001,47.678568,0.0,2096,9025,20230908T000000
93,244692,1,2.0,2001,0,2.0,0,2,3,6,1496,505,1991,0,98003,47.663171,0.0,2039,0,20230120T000000
94,300850,5,3.6,2331,75,1.0,0,1,1,7,1950,381,1967,0,98004,47.550585,0.0,2457,89,20231225T000000
95,291183,4,1.3,3283,4986,2.5,0,2,4,7,2305,978,1958,0,98001,47.583185,0.0,3270,4286,20230407T000000
96,130472,3,1.6,1771,5778,2.5,1,2,5,6,1572,199,1995,0,98004,47.281849,0.0,1499,5609,20230810T000000
97,394418,1,3.3,2110,5453,1.0,0,0,2,7,1841,269,1985,0,98001,47.349795,0.0,2307,6037,20230524T000000
98,389158,1,1.2,1131,20182,1.0,0,1,1,6,899,232,1983,0,98006,47.679092,0.0,1284,23855,20230107T000000
99,350767,3,2.5,1305,9938,1.0,0,4,1,8,1118,187,2011,2022,98004,47.667442,0.0,1375,11493,20231216T000000
100,314811,3,2.3,2078,13204,1.5,0,2,3,7,1761,317,1983,0,98003,47.64476,0.0,1803,11908,20231118T000000
101,137694,1,2.0,2883,23942,2.0,0,2,1,7,2235,648,1905,0,98002,47.397117,0.0,2392,19969,20230925T000000
102,286903,3,2.2,1794,7336,2.0,0,4,4,6,1413,381,1972,1985,98006,47.682098,0.0,1651,6716,20231023T000000
103,298592,2,2.6,1811,12354,1.5,0,0,4,8,1681,130,1927,0,98006,47.267751,0.0,1475,12043,20230101T000000
104,229658,4,1.5,1674,18657,2.5,0,1,4,7,1551,123,1976,0,98001,47.715472,0.0,1901,17611,20230227T000000
105,325807,4,2.7,1572,0,1.5,0,0,5,5,1321,251,1930,0,98003,47.447826,0.0,1699,0,20230921T000000
106,410607,4,3.4,2235,0,1.0,0,3,5,7,2045,190,1938,0,98004,47.836834,0.0,2291,0,20230331T000000
107,632927,2,3.3,802,18461,1.5,1,2,1,7,669,133,1949,0,98003,47.195712,0.0,926,21109,20230316T000000
108,376186,3,1.5,3024,19920,2.0,0,3,5,7,2889,135,1977,1990,98006,47.852681,0.0,2552,17733,20231207T000000
109,388632,5,1.4,1467,35642,1.5,0,2,5,8,1173,294,1985,0,98001,47.427707,0.0,1592,33665,20230918T000000
110,338833,3,1.8,2577,16580,1.5,0,3,3,7,2520,57,1936,0,98003,47.424104,0.0,2212,16233,20231009T000000
111,62184,1,2.1,984,23197,1.0,0,4,5,9,848,136,2017,0,98004,47.538968,0.0,811,21259,20231207T000000
112,346022,6,2.2,2535,13045,2.5,0,2,2,7,2181,354,2008,0,98005,47.360584,0.0,2162,14434,20231125T000000
113,359034,4,3.0,2537,17972,3.0,0,2,2,7,2286,251,1987,0,98006,47.485534,0.0,2994,17321,20231223T000000
114,719486,3,1.2,2307,31672,1.5,0,3,2,5,1850,457,1971,0,98002,47.352475,0.0,2252,36575,20230831T000000
115,321145,5,1.1,1204,0,1.5,0,1,1,6,1104,100,1914,0,98002,47.359787,0.0,986,0,20231118T000000
116,395232,1,2.2,2199,19136,2.0,0,3,4,7,1750,449,1950,0,98006,47.597377,0.0,2272,21890,20230429T000000
117,344793,2,3.1,1053,36355,2.0,0,2,3,8,862,191,2004,0,98005,47.319687,0.0,926,36684,20230216T000000
118,174698,2,1.6,1797,17820,1.5,0,2,1,7,1621,176,1969,0,98001,47.346361,0.0,1442,17889,20230617T000000
119,521423,5,2.9,2823,31505,2.5,0,1,4,9,2296,527,1922,0,98003,47.225442,0.0,3114,27924,20231214T000000
120,462789,1,1.8,2637,8707,2.0,1,0,3,6,2004,633,1924,0,98003,47.399214,0.0,2272,9028,20230127T000000
121,468654,4,3.7,2012,14679,1.5,0,1,3,6,1934,78,1994,0,98005,47.76232,0.0,2368,17337,20231023T000000
122,213591,3,3.7,1220,15335,2.0,0,0,3,8,1191,29,1945,0,98005,47.330813,0.0,1265,12762,20230101T000000
123,560419,1,1.9,2516,0,3.0,0,2,2,6,2234,282,1992,2022,98004,47.353673,0.0,2100,0,20230623T000000
124,139722,2,1.7,2015,3318,2.0,0,4,2,8,1900,115,1922,0,98004,47.538784,0.0,1787,3808,20230616T000000
125,438028,5,2.2,143,4031,1.0,0,4,2,6,142,1,1909,1925,98002,47.425841,0.0,149,4815,20230118T000000
126,678568,5,1.7,2626,23220,1.5,0,3,3,6,2322,304,1972,2008,98001,47.945631,0.0,2455,21685,20230401T000000
127,201419,3,3.0,1980,23721,1.5,0,1,3,8,1925,55,2012,0,98001,47.467494,0.0,2005,22350,20231030T000000
128,265055,5,3.5,2961,18240,1.5,1,1,2,6,2391,570,1976,0,98005,47.567044,0.0,3315,16268,20230721T000000
129,364947,5,3.0,1123,23241,2.0,0,4,3,7,1022,101,1931,1979,98002,47.688754,0.0,1254,25928,20230121T000000
130,274478,1,3.5,0,13358,2.5,0,0,2,7,0,0,2012,0,98002,47.684916,0.0,0,11434,20230605T000000
131,117400,4,2.2,2223,27019,2.0,0,1,2,7,2082,141,1950,0,98004,47.546658,0.0,2566,24509,20230114T000000
132,360284,3,1.5,2233,15087,3.0,0,0,2,6,2118,115,2008,2022,98003,47.467775,0.0,1964,13851,20230120T000000
133,190654,1,3.2,647,15578,1.5,0,0,4,6,530,117,1940,0,98001,47.904806,0.0,563,14798,20230901T000000
134,421038,4,2.1,1217,12344,2.5,0,0,3,8,1085,132,1964,0,98002,47.480048,0.0,1362,11957,20230622T000000
135,212086,1,3.0,4204,21844,2.0,0,0,1,9,4025,179,1964,1985,98004,47.411662,0.0,3902,22359,20230502T000000
136,582490,6,1.8,1755,10788,1.5,0,3,2,7,1693,62,2000,0,98004,47.37083,0.0,1763,12722,20230703T000000
137,232512,1,1.2,2584,24764,2.0,0,3,1,7,1891,693,1939,1983,98004,47.154639,0.0,2836,22260,20231104T000000
138,301690,5,4.0,1479,3678,1.0,0,4,4,7,1402,77,1917,0,98003,47.664323,0.0,1417,4088,20230309T000000
139,472027,4,1.5,327,4010,2.0,0,3,3,8,255,72,1935,0,98002,47.030386,0.0,278,4292,20231020T000000
140,165370,3,4.0,1863,21874,2.0,0,1,2,8,1710,153,1930,1959,98005,47.498855,0.0,1996,18514,20231204T000000
141,384118,3,3.9,1787,14114,1.5,1,3,2,6,1425,362,1953,0,98005,47.459028,0.0,2013,15866,20230608T000000
142,546071,4,3.4,1680,10461,2.0,0,1,2,8,1204,476,1962,0,98004,47.947993,0.0,1352,8747,20230218T000000
143,108877,5,3.0,1908,23900,2.0,0,1,1,8,1455,453,1900,0,98004,47.13367,0.0,1955,26184,20230630T000000
144,377695,2,2.7,2211,8927,1.5,0,0,4,8,1818,393,2010,0,98003,47.319779,0.0,2183,9697,20231022T000000
145,388982,1,3.6,1879,12997,1.0,0,4,3,5,1733,146,1951,1969,98004,47.472781,0.0,1698,13981,20231214T000000
146,467273,5,1.9,988,28992,1.5,0,0,4,7,721,267,1999,0,98006,47.460494,0.0,854,26402,20230521T000000
147,164457,6,2.4,2388,30391,2.0,0,0,2,7,2253,135,1956,0,98002,47.390091,0.0,2090,31282,20230118T000000
148,151931,4,2.9,440,30723,2.5,0,3,4,7,439,1,1908,0,98004,47.483802,0.0,479,33937,20230520T000000
149,428291,1,2.2,359,12178,2.5,0,3,1,9,336,23,1985,0,98004,47.248087,0.0,364,12848,20230313T000000
150,394547,3,2.3,2591,27307,2.0,0,1,5,7,2181,410,2019,0,98002,47.571439,0.0,3089,30630,20230830T000000
151,387573,2,2.0,2405,5510,2.0,1,3,5,7,2093,312,1991,0,98001,47.035703,0.0,2157,5924,20230918T000000
152,401967,6,2.7,1954,5930,1.5,0,3,3,7,1371,583,1989,0,98006,47.494846,0.0,2311,5394,20230920T000000
153,247996,3,3.6,883,0,2.0,0,2,3,7,673,210,2015,0,98006,47.379929,0.0,888,0,20230523T000000
154,384838,4,1.6,1433,31728,1.5,0,1,4,6,1389,44,1973,0,98005,47.703258,0.0,1230,33402,20230714T000000
155,393960,1,3.8,1789,6360,1.5,0,1,3,9,1263,526,1955,1981,98004,47.851062,0.0,1537,7020,20230526T000000
156,242847,4,3.1,723,13734,2.0,0,2,1,7,702,21,1946,0,98002,47.43379,0.0,754,11769,20231021T000000
157,629866,1,3.5,1408,5896,1.0,0,1,2,8,1033,375,1902,1927,98005,47.778145,0.0,1594,5129,20230126T000000
158,421074,5,2.7,2521,21951,2.0,0,4,2,7,1865,656,1901,1903,98003,47.436777,0.0,2770,17666,20230228T000000
159,171304,2,3.3,3141,11243,2.5,0,4,4,7,2363,778,1953,0,98001,47.306775,0.0,3336,11385,20230221T000000
160,448483,5,1.0,1664,1951,1.5,0,2,2,7,1563,101,1936,1956,98004,47.849181,0.0,1445,1984,20230529T000000
161,203797,5,3.5,2605,19416,1.5,0,3,4,7,2197,408,1955,0,98001,47.604155,0.0,2196,19416,20230417T000000
162,468062,4,1.1,468,662,2.5,0,4,3,7,347,121,1930,1962,98004,47.500888,0.0,374,613,20231114T000000
163,523789,2,3.7,2527,6625,2.0,0,2,3,6,2289,238,1996,0,98004,47.637435,0.0,2124,6433,20230228T000000
164,226897,1,4.0,1356,0,1.5,0,4,1,7,1331,25,1995,0,98004,47.554843,0.0,1500,0,20230915T000000
165,494506,1,1.9,2245,760,1.5,0,0,2,7,1957,288,2006,2022,98001,47.486156,0.0,2599,663,20231008T000000
166,411917,6,1.6,1801,16785,2.0,0,2,1,6,1314,487,1911,1955,98006,47.234713,0.0,1613,14781,20230119T000000
167,473309,3,3.3,3056,0,2.0,0,1,5,6,2189,867,1957,0,98003,47.445893,0.0,3416,0,20230615T000000
168,634518,6,1.8,1300,188,1.0,1,4,1,7,1220,80,1966,0,98006,47.624651,0.0,1143,215,20230125T000000
169,313191,6,3.6,2502,14976,1.5,0,1,4,5,2221,281,2018,2022,98002,47.475446,0.0,2251,14019,20230104T000000
170,236939,1,1.3,1776,9563,2.5,0,2,4,7,1734,42,2011,0,98002,47.680465,0.0,1580,11218,20230103T000000
171,216572,4,1.4,1873,34920,2.0,0,4,1,7,1618,255,1925,0,98006,47.576731,0.0,1537,28741,20231228T000000
172,227628,5,3.9,1852,33338,3.0,0,1,3,9,1331,521,1977,0,98003,47.324373,0.0,1625,28250,20230127T000000
173,338434,5,3.0,1323,6320,2.0,1,3,5,7,1086,237,1911,1954,98003,47.236166,0.0,1256,6218,20231212T000000
174,401172,5,3.5,1988,20571,2.5,0,3,1,7,1784,204,2015,2022,98004,47.468564,0.0,1912,22409,20230807T000000
175,391503,2,2.0,1949,22492,1.5,0,0,3,7,1589,360,1989,2022,98004,47.395154,0.0,1800,21329,20230213T000000
176,474077,1,3.0,2192,9025,2.0,0,2,1,6,2191,1,1915,0,98002,47.567264,0.0,2204,9222,20230731T000000
177,351950,4,2.8,2067,44,1.0,0,1,2,7,1698,369,1952,0,98004,47.356372,0.0,1966,35,20230221T000000
178,568030,2,2.8,2638,14877,2.0,0,0,4,7,2278,360,1971,0,98004,47.376922,0.0,3134,14649,20230602T000000
179,310301,3,3.0,2738,13271,1.5,0,2,2,8,2101,637,1948,1986,98003,47.710614,0.0,3074,11904,20230721T000000
180,758025,4,2.7,1159,10642,1.5,0,3,2,6,864,295,1948,0,98001,47.529641,0.0,1358,10711,20231117T000000
181,443850,6,2.3,2695,19423,2.5,0,1,5,7,2408,287,1991,0,98006,47.359455,0.0,2756,19623,20230111T000000
182,221426,4,1.8,1050,7492,2.5,0,4,3,5,920,130,1906,0,98005,47.503528,0.0,1124,8250,20230309T000000
183,189366,4,3.3,2470,3480,1.0,0,3,4,8,1732,738,1914,0,98005,47.775782,0.0,2140,3535,20230815T000000
184,422370,5,1.7,2495,16090,2.0,0,4,2,7,1959,536,2004,0,98004,47.558757,0.0,2747,16825,20230501T000000
185,316480,4,3.1,470,18859,1.5,0,4,4,9,419,51,1935,0,98004,47.61859,0.0,420,19082,20231129T000000
186,457100,6,1.7,2074,3233,1.5,0,1,3,7,1957,117,1971,1990,98006,47.349553,0.0,1780,3867,20230115T000000
187,420985,6,2.9,1625,24280,2.5,0,1,1,6,1289,336,1973,0,98005,47.705284,0.0,1327,27112,20230226T000000
188,339075,1,3.2,1392,0,1.5,0,4,2,6,1244,148,1914,0,98003,47.96362,0.0,1376,0,20231126T000000
189,222980,4,1.7,3080,9218,2.5,0,0,3,8,2401,679,2018,0,98005,47.341706,0.0,2817,9687,20230305T000000
190,122772,5,1.2,1477,12419,1.0,0,4,4,9,1339,138,1961,0,98005,47.263621,0.0,1764,12559,20230818T000000
191,283022,4,1.4,1354,8637,2.0,0,4,3,8,1231,123,1917,0,98005,47.535108,0.0,1218,8100,20230111T000000
192,478459,3,2.8,2060,9349,2.0,0,1,1,6,1522,538,1945,1993,98004,47.675101,0.0,2362,10410,20230501T000000
193,382114,3,3.5,2548,33710,1.5,0,2,3,7,2291,257,2000,2022,98004,47.481722,0.0,2360,29524,20230812T000000
194,163139,5,1.1,1886,6491,1.5,0,3,4,8,1508,378,2004,0,98006,47.289359,0.0,2073,5287,20230813T000000
195,375977,1,3.2,2933,39412,2.5,0,1,2,6,2204,729,2008,2022,98005,47.478283,0.0,3120,42536,20230505T000000
196,407797,1,2.0,2424,19371,2.0,0,0,2,8,2060,364,1960,0,98004,47.619618,0.0,2483,16619,20230528T000000
197,217421,6,2.4,257,15920,1.5,0,3,5,6,214,43,2020,0,98006,47.418594,0.0,248,18491,20230816T000000
198,373058,6,3.8,1576,19762,2.0,0,1,4,7,1469,107,2014,0,98005,47.621451,0.0,1683,21901,20230130T000000
199,358731,2,2.0,1550,40299,1.0,0,1,5,7,1124,426,1942,0,98003,47.732942,0.0,1492,41947,20230110T000000
200,178554,5,2.4,2383,5064,1.5,0,2,5,8,2232,151,1943,1960,98004,47.548046,0.0,2428,4687,20230223T000000
201,403668,4,1.0,0,3795,1.5,0,0,1,9,0,0,1998,1999,98001,47.49441,0.0,0,4004,20230705T000000
202,434117,5,1.2,4039,7451,1.0,0,0,4,7,3078,961,1965,1987,98006,47.665869,0.0,3663,7382,20230726T000000
203,512457,2,1.8,2424,15321,2.5,0,1,2,7,2071,353,1954,1969,98004,47.32878,0.0,2268,14041,20230912T000000
204,508070,6,1.1,2119,0,2.0,0,2,4,6,1777,342,1985,0,98003,47.309058,0.0,1710,0,20230606T000000
205,143349,5,2.9,2945,15223,2.5,0,1,1,8,2935,10,1978,0,98003,47.446686,0.0,3359,13164,20230509T000000
206,209326,5,2.3,3874,31935,2.0,0,4,4,8,3396,478,2000,0,98004,47.401624,0.0,4270,35171,20230227T000000
207,427255,6,2.6,2696,16514,2.5,0,4,4,8,2152,544,1938,0,98002,47.339332,0.0,2354,18495,20230714T000000
208,427067,2,1.5,2759,12073,2.0,0,2,5,7,2676,83,1999,0,98006,47.866094,0.0,2606,14254,20230317T000000
209,427257,6,1.9,2104,8818,2.0,0,1,4,7,1669,435,1904,1953,98005,47.934399,0.0,2037,8992,20230330T000000
210,927909,1,3.0,1886,23985,3.0,0,2,5,7,1475,411,1956,1979,98005,47.429259,0.0,1761,24319,20231220T000000
211,435633,4,3.9,1619,6741,2.0,0,1,5,7,1373,246,2011,0,98003,47.518344,0.0,1812,7874,20230322T000000
212,520334,6,1.2,1339,33463,1.0,0,1,3,8,1304,35,1914,0,98004,47.462431,0.0,1459,37493,20230705T000000
213,493100,2,3.7,1450,34333,2.0,0,4,1,7,1323,127,1990,0,98002,47.7215,0.0,1604,37953,20231122T000000
214,447708,3,2.7,919,17567,2.5,0,3,5,7,830,89,1915,0,98006,47.761129,0.0,1067,19598,20230925T000000
215,302709,1,2.7,1939,14884,2.0,0,0,4,8,1779,160,1956,1960,98001,47.144547,0.0,2012,14843,20230320T000000
216,463845,3,2.5,652,25306,2.0,0,0,5,6,585,67,1999,0,98005,47.595202,0.0,681,20664,20230525T000000
